Full Name,Pos,cluster
Henry Sims,C,Rim Protector
Amar'e Stoudemire,C,Skilled Big
Jason Thompson,C,Skilled Big
Charlie Villanueva,PF,Scoring Forward
Mo Williams,PG,Combo Guard
Carlos Boozer,PF,Skilled Big
Samuel Dalembert,C,Rim Protector
Glen Davis,PF,Scoring Forward
Chris Douglas-Roberts,SG,Lockdown
Reggie Evans,PF,Rim Protector
Landry Fields,SF,Slasher Shot Creator
Ben Gordon,SG,Two Way Threat
Danny Granger,SF,Slasher Shot Creator
Willie Green,SG,Lockdown
Brendan Haywood,C,Rim Protector
Andrei Kirilenko,SF,Scoring Forward
Shawn Marion,SF,Scoring Forward
Kenyon Martin,PF,Scoring Forward
Jason Maxiell,PF,Skilled Big
Jason Richardson,SG,Lockdown
Luke Ridnour,PG,Floor General
John Salmons,SF,Two Way Threat
Greg Stiemsma,C,Rim Protector
Sebastian Telfair,PG,Floor General
Tyrus Thomas,PF,Skilled Big
Gerald Wallace,SF,Slasher Shot Creator
Martell Webster,SF,Lockdown
Dorell Wright,SF,Slasher Shot Creator
Shane Battier,SF,Slasher Shot Creator
Chauncey Billups,SG,Combo Guard
Andray Blatche,PF,Scoring Forward
Keith Bogans,SG,Lockdown
Ronnie Brewer,SF,Lockdown
Andrew Bynum,C,Rim Protector
Jason Collins,C,Scoring Forward
Derek Fisher,SG,Two Way Threat
Ryan Gomes,SF,Slasher Shot Creator
Al Harrington,PF,Slasher Shot Creator
Stephen Jackson,SF,Two Way Threat
Antawn Jamison,PF,Scoring Forward
Rashard Lewis,SF,Slasher Shot Creator
Jermaine O'Neal,PF,Rim Protector
Greg Oden,C,Rim Protector
Chris Singleton,SF,Slasher Shot Creator
Jamaal Tinsley,PG,Floor General
Ronny Turiaf,C,Skilled Big
Earl Watson,PG,Floor General
Rodrigue Beaubois,PG,Combo Guard
Kwame Brown,C,Skilled Big
Marcus Camby,PF,Rim Protector
Josh Childress,SF,Slasher Shot Creator
Eddy Curry,C,Skilled Big
Marquis Daniels,SF,Two Way Threat
Carlos Delfino,SF,Lockdown
Chris Duhon,PG,Floor General
Daniel Gibson,PG,Two Way Threat
Richard Hamilton,SG,Two Way Threat
Josh Howard,SF,Slasher Shot Creator
Juwan Howard,PF,Scoring Forward
Jared Jeffries,PF,Scoring Forward
DeQuan Jones,SF,Slasher Shot Creator
Corey Maggette,SF,Slasher Shot Creator
Troy Murphy,PF,Scoring Forward
Lamar Odom,PF,Scoring Forward
Johan Petro,C,Skilled Big
Joel Przybilla,C,Rim Protector
Quentin Richardson,SF,Slasher Shot Creator
Brandon Roy,SG,Combo Guard
Jerry Stackhouse,SF,Two Way Threat
DeShawn Stevenson,SG,Two Way Threat
Kurt Thomas,PF,Skilled Big
Rasheed Wallace,C,Scoring Forward
Luke Walton,PF,Two Way Threat
Hakim Warrick,PF,Scoring Forward
Chris Wilcox,C,Skilled Big
Gilbert Arenas,PG,Combo Guard
Kelenna Azubuike,SG,Lockdown
Tony Battie,C,Skilled Big
Raja Bell,SG,Lockdown
Mike Bibby,PG,Combo Guard
Anthony Carter,PG,Combo Guard
Erick Dampier,C,Rim Protector
Baron Davis,PG,Floor General
Francisco Elson,C,Scoring Forward
Maurice Evans,SF,Lockdown
Jonny Flynn,PG,Floor General
T.J. Ford,PG,Floor General
Jeff Foster,C,Rim Protector
Dan Gadzuric,C,Rim Protector
Larry Hughes,PG,Two Way Threat
Yi Jianlian,PF,Skilled Big
Jamaal Magloire,C,Rim Protector
Brad Miller,C,Skilled Big
Jamario Moon,SF,Slasher Shot Creator
Mikki Moore,C,Skilled Big
Mehmet Okur,C,Skilled Big
Anthony Parker,SF,Lockdown
Michael Redd,SG,Lockdown
Bobby Simmons,SF,Slasher Shot Creator
Brian Skinner,C,Rim Protector
Ben Wallace,C,Rim Protector
Delonte West,PG,Combo Guard
Shelden Williams,C,Skilled Big
Malik Allen,PF,Skilled Big
Carlos Arroyo,PG,Floor General
Charlie Bell,SG,Two Way Threat
Jarron Collins,C,Skilled Big
Antonio Daniels,PG,Combo Guard
Joey Graham,SF,Scoring Forward
Luther Head,PG,Two Way Threat
Zydrunas Ilgauskas,C,Rim Protector
Antonio McDyess,PF,Skilled Big
Fabricio Oberto,C,Skilled Big
Morris Peterson,SG,Lockdown
James Posey,SF,Lockdown
Theo Ratliff,C,Rim Protector
Quinton Ross,SF,Slasher Shot Creator
Joe Smith,PF,Skilled Big
Al Thornton,SF-PF,Slasher Shot Creator
Ime Udoka,SF,Lockdown
Jason Williams,PG,Floor General
Antoine Wright,SG,Lockdown
Julian Wright,SF,Slasher Shot Creator
Rafer Alston,PG,Combo Guard
Chucky Atkins,PG,Combo Guard
Josh Boone,PF,Skilled Big
Devin Brown,SG,Slasher Shot Creator
Ricky Davis,SF,Two Way Threat
Yakhouba Diawara,SG,Lockdown
Michael Finley,SF,Lockdown
Devean George,SF,Slasher Shot Creator
Trenton Hassell,SF,Slasher Shot Creator
Jarvis Hayes,SF,Lockdown
Steven Hunter,C,Rim Protector
Anthony Johnson,PG,Combo Guard
Desmond Mason,SF,Scoring Forward
Kareem Rush,SG,Lockdown
Kenny Thomas,PF,Scoring Forward
Tim Thomas,SF,Slasher Shot Creator
Brent Barry,SG,Two Way Threat
Mark Blount,C,Skilled Big
Bruce Bowen,SF,Lockdown
Greg Buckner,SF,Slasher Shot Creator
Speedy Claxton,PG,Floor General
Adonal Foyle,C,Rim Protector
Matt Harpring,SG,Scoring Forward
Jerome James,C,Rim Protector
Damon Jones,PG,Two Way Threat
Fred Jones,SF,Two Way Threat
Brevin Knight,PG,Floor General
Tyronn Lue,PG,Combo Guard
Stephon Marbury,PG,Floor General
Donyell Marshall,PF,Scoring Forward
Chris Mihm,C,Rim Protector
Darius Miles,SF,Scoring Forward
Cuttino Mobley,SG,Two Way Threat
Wally Szczerbiak,SF,Slasher Shot Creator
Jacque Vaughn,PG,Combo Guard
Jake Voskuhl,C,Skilled Big
Lorenzen Wright,C,Skilled Big
Shareef Abdur-Rahim,PF,Scoring Forward
Derek Anderson,SG,Two Way Threat
Darrell Armstrong,PG,Combo Guard
P.J. Brown,PF,Skilled Big
Juan Carlos Navarro,SG,Two Way Threat
Sam Cassell,PG,Combo Guard
Dan Dickau,PG,Combo Guard
Steve Francis,PG,Combo Guard
Jorge Garbajosa,PF,Slasher Shot Creator
Pat Garrity,PF,Slasher Shot Creator
Adrian Griffin,SG-SF,Slasher Shot Creator
Anfernee Hardaway,SF,Two Way Threat
Othella Harrington,C,Skilled Big
Robert Horry,PF,Scoring Forward
Troy Hudson,PG,Combo Guard
Alexander Johnson,PF,Scoring Forward
DerMarr Johnson,SF,Lockdown
Eddie Jones,SG,Lockdown
Viktor Khryapa,PF,Scoring Forward
Raef LaFrentz,C,Skilled Big
Jelani McCoy,C,Rim Protector
Jeff McInnis,PG,Combo Guard
Ira Newble,SG-SF,Slasher Shot Creator
Bo Outlaw,PF,Scoring Forward
Smush Parker,PG,Two Way Threat
Ruben Patterson,SF,Slasher Shot Creator
Eric Piatkowski,SF,Lockdown
Scot Pollard,C,Skilled Big
Eric Snow,PG,Combo Guard
Kirk Snyder,SF-PF,Slasher Shot Creator
Damon Stoudamire,PG,Combo Guard
Antoine Walker,PF,Slasher Shot Creator
Chris Webber,PF,Scoring Forward
Bonzi Wells,SG,Slasher Shot Creator
Kelvin Cato,C,Rim Protector
Doug Christie,SG,Two Way Threat
Dale Davis,C,Skilled Big
Danny Fortson,C,Rim Protector
Eddie Griffin,PF,Rim Protector
Junior Harrington,PG,Combo Guard
Marc Jackson,PF,Skilled Big
Jumaine Jones,SF,Slasher Shot Creator
Aaron McKie,SF,Two Way Threat
Keith McLeod,PG,Combo Guard
Michael Olowokandi,C,Rim Protector
Clifford Robinson,C,Slasher Shot Creator
Jalen Rose,SF,Two Way Threat
Mike Sweetney,C,Rim Protector
Maurice Taylor,PF,Scoring Forward
Jake Tsakalidis,C,Rim Protector
David Wesley,SG,Two Way Threat
Alvin Williams,PG,Combo Guard
Eric Williams,SF,Slasher Shot Creator
Shandon Anderson,SF,Slasher Shot Creator
Stacey Augmon,SF,Slasher Shot Creator
Vin Baker,C,Skilled Big
Calbert Cheaney,SF,Slasher Shot Creator
Antonio Davis,PF-C,Skilled Big
Howard Eisley,PG,Floor General
Brian Grant,C,Skilled Big
Jim Jackson,SF,Two Way Threat
Ervin Johnson,C,Rim Protector
Voshon Lenard,SG,Lockdown
Sergei Monia,SF,Lockdown
Lamond Murray,SF,Slasher Shot Creator
Lee Nailon,PF,Scoring Forward
Greg Ostertag,C,Rim Protector
Milt Palacio,PG,Combo Guard
Nick Van Exel,PG,Combo Guard
Keith Van Horn,SF,Scoring Forward
Samaki Walker,PF,Skilled Big
Kenny Anderson,PG,Combo Guard
Travis Best,PG,Combo Guard
Curtis Borchardt,C,Rim Protector
Shawn Bradley,C,Rim Protector
Kedrick Brown,SF,Slasher Shot Creator
Elden Campbell,C,Skilled Big
Derrick Coleman,C,Skilled Big
Jason Collier,C,Skilled Big
Michael Curry,SF,Slasher Shot Creator
Andrew DeClercq,C,Skilled Big
Predrag Drobnjak,C,Scoring Forward
Kendall Gill,SG,Lockdown
Dion Glover,SG,Slasher Shot Creator
Tom Gugliotta,PF,Scoring Forward
Lucious Harris,SG,Slasher Shot Creator
Allan Houston,SG,Two Way Threat
Kerry Kittles,SG,Lockdown
Christian Laettner,PF,Scoring Forward
George Lynch,SF,Scoring Forward
Tony Massenburg,PF,Skilled Big
Ron Mercer,SF,Slasher Shot Creator
Anthony Peeler,SG,Two Way Threat
Wesley Person,SF,Slasher Shot Creator
Mark Pope,PF,Scoring Forward
Glenn Robinson,SF,Slasher Shot Creator
Rodney Rogers,SF-PF,Scoring Forward
Bryon Russell,SF,Slasher Shot Creator
Steve Smith,SG,Two Way Threat
Latrell Sprewell,SF,Two Way Threat
Rod Strickland,PG,Floor General
Bob Sura,PG,Combo Guard
Charlie Ward,PG,Combo Guard
Clarence Weatherspoon,PF,Scoring Forward
Jahidi White,C,Skilled Big
Jerome Williams,SF,Skilled Big
Scott Williams,C,Skilled Big
J.R. Bremer,PG,Combo Guard
Chris Crawford,PF,Scoring Forward
Bryce Drew,PG,Combo Guard
Rick Fox,SF,Two Way Threat
Horace Grant,PF,Scoring Forward
Tyrone Hill,PF,Skilled Big
Mark Jackson,PG,Floor General
Popeye Jones,PF,Skilled Big
Jamal Mashburn,SF,Two Way Threat
Charles Oakley,PF,Scoring Forward
Cherokee Parks,C,Skilled Big
Glen Rice,SF,Slasher Shot Creator
Eddie Robinson,SF,Slasher Shot Creator
Chris Whitney,PG,Two Way Threat
Courtney Alexander,PG,Lockdown
John Amaechi,C,Scoring Forward
Randy Brown,PG,Floor General
Jason Caffey,PF,Skilled Big
Emanual Davis,SG,Two Way Threat
Michael Dickerson,SG,Two Way Threat
Chris Dudley,C,Rim Protector
Evan Eschmeyer,C,Skilled Big
Danny Ferry,SF,Slasher Shot Creator
Tim Hardaway,PG,Combo Guard
Juaquin Hawkins,SG,Lockdown
Shawn Kemp,C,Scoring Forward
Grant Long,PF,Scoring Forward
Todd MacCulloch,C,Skilled Big
Matt Maloney,PG,Combo Guard
Anthony Mason,C,Scoring Forward
Jay Williams,PG,Combo Guard
Walt Williams,SF,Slasher Shot Creator
Vincent Yarbrough,SG,Slasher Shot Creator
Greg Anthony,PG,Combo Guard
Isaac Austin,C,Skilled Big
Mookie Blaylock,PG,Floor General
Terrell Brandon,PG,Floor General
Dan Majerle,SG,Lockdown
George McCloud,SF,Two Way Threat
Derrick McKey,SF,Slasher Shot Creator
Eric Montross,C,Skilled Big
Tyrone Nesby,SF,Slasher Shot Creator
Johnny Newman,SF,Lockdown
Terry Porter,PG,Combo Guard
John Starks,SG,Lockdown
Bryant Stith,SG,Lockdown
Duane Causwell,C,Skilled Big
Khalid El-Amin,PG,Combo Guard
Mario Elie,SG,Two Way Threat
Sean Elliott,SF,Slasher Shot Creator
Ron Harper,PG,Two Way Threat
Larry Johnson,PF,Slasher Shot Creator
Adam Keefe,PF,Skilled Big
Roshown McLeod,SF,Slasher Shot Creator
Billy Owens,PF,Scoring Forward
Sam Perkins,PF,Slasher Shot Creator
Olden Polynice,C,Rim Protector
Chris Porter,SF,Scoring Forward
Bryant Reeves,C,Skilled Big
Michael Smith,PF,Rim Protector
