,Full Name,Year,Tm,FG%,Dist.,2P_A,0-3_A,3-10_A,10-16_A,16-3pt_A,3P_A,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,Astd_2P,Dunk%,Dunks_Md,Astd_3P,%Corner3_A,Corner_3P%,Heaves_A,Heaves_Md
6,Darius Morris,2014,BRK,0.34,13.3,0.689,0.311,0.123,0.132,0.123,0.311,0.397,0.545,0.385,0.214,0.231,0.212,0.241,0.009,1.0,0.857,0.333,0.091,0.0,0.0
0,Jaylen Morris,2017,ATL,0.406,11.0,0.688,0.438,0.094,0.063,0.094,0.313,0.5,0.5,0.333,1.0,0.333,0.2,0.727,0.094,2.0,1.0,0.4,0.0,1.0,0.0
1,Jaylen Morris,2018,MIL,0.4,10.5,0.7,0.4,0.3,0.0,0.0,0.3,0.429,0.5,0.333,,,0.333,0.667,0.0,0.0,1.0,0.0,,0.0,0.0
0,Marcus Morris,2011,HOU,0.296,16.0,0.685,0.185,0.074,0.204,0.222,0.315,0.378,0.4,0.25,0.455,0.333,0.118,0.5,0.019,0.0,0.5,0.471,0.125,0.0,0.0
1,Marcus Morris,2012,TOT,0.422,15.3,0.557,0.251,0.12,0.059,0.127,0.443,0.464,0.689,0.286,0.323,0.254,0.369,0.581,0.065,31.0,0.942,0.472,0.336,4.0,0.0
2,Marcus Morris,2012,HOU,0.428,15.9,0.515,0.233,0.115,0.055,0.113,0.485,0.471,0.656,0.348,0.318,0.289,0.381,0.557,0.053,19.0,0.973,0.495,0.313,3.0,0.0
3,Marcus Morris,2012,PHO,0.405,13.5,0.69,0.31,0.135,0.071,0.175,0.31,0.448,0.769,0.118,0.333,0.182,0.308,0.641,0.103,12.0,0.75,0.359,0.5,1.0,0.0
4,Marcus Morris,2013,PHO,0.442,16.5,0.601,0.169,0.077,0.167,0.187,0.399,0.483,0.655,0.34,0.486,0.385,0.381,0.439,0.02,12.0,0.949,0.392,0.373,3.0,0.0
5,Marcus Morris,2014,PHO,0.434,16.7,0.59,0.155,0.096,0.155,0.185,0.41,0.487,0.593,0.384,0.483,0.454,0.358,0.443,0.014,10.0,0.902,0.329,0.408,7.0,1.0
6,Marcus Morris,2015,DET,0.434,15.0,0.685,0.158,0.106,0.213,0.211,0.315,0.467,0.671,0.34,0.383,0.457,0.362,0.348,0.016,15.0,0.926,0.285,0.329,2.0,0.0
7,Marcus Morris,2016,DET,0.418,17.3,0.645,0.113,0.086,0.192,0.255,0.355,0.466,0.623,0.356,0.43,0.459,0.331,0.38,0.007,7.0,0.915,0.154,0.436,6.0,0.0
8,Marcus Morris,2017,BOS,0.429,16.5,0.617,0.139,0.128,0.16,0.19,0.383,0.467,0.612,0.41,0.398,0.457,0.368,0.483,0.018,10.0,0.919,0.175,0.341,9.0,0.0
9,Marcus Morris,2018,BOS,0.447,16.6,0.539,0.174,0.117,0.143,0.104,0.461,0.508,0.68,0.455,0.38,0.455,0.375,0.528,0.017,13.0,0.938,0.144,0.232,4.0,0.0
0,Markieff Morris,2011,PHO,0.399,13.7,0.716,0.25,0.158,0.133,0.174,0.284,0.42,0.587,0.362,0.397,0.25,0.347,0.573,0.06,24.0,0.953,0.081,0.5,1.0,0.0
1,Markieff Morris,2012,PHO,0.407,12.9,0.795,0.279,0.135,0.133,0.248,0.205,0.426,0.588,0.25,0.287,0.414,0.336,0.647,0.072,39.0,0.978,0.254,0.294,2.0,0.0
2,Markieff Morris,2013,PHO,0.486,11.4,0.872,0.288,0.174,0.22,0.191,0.128,0.512,0.658,0.401,0.478,0.429,0.315,0.528,0.076,62.0,0.882,0.111,0.333,5.0,0.0
3,Markieff Morris,2014,PHO,0.465,12.5,0.837,0.229,0.163,0.246,0.199,0.163,0.494,0.611,0.436,0.502,0.397,0.318,0.523,0.053,48.0,0.982,0.145,0.269,2.0,0.0
4,Markieff Morris,2015,TOT,0.425,12.5,0.784,0.258,0.142,0.182,0.202,0.216,0.458,0.6,0.353,0.435,0.372,0.303,0.605,0.075,49.0,0.979,0.142,0.318,2.0,1.0
5,Markieff Morris,2015,PHO,0.397,11.5,0.824,0.283,0.165,0.181,0.195,0.176,0.42,0.549,0.31,0.41,0.333,0.289,0.523,0.063,23.0,1.0,0.079,0.167,1.0,0.0
6,Markieff Morris,2015,WAS,0.467,14.0,0.725,0.22,0.108,0.185,0.213,0.275,0.524,0.698,0.452,0.472,0.426,0.316,0.716,0.094,26.0,0.96,0.203,0.375,1.0,1.0
7,Markieff Morris,2016,WAS,0.457,11.9,0.78,0.287,0.181,0.154,0.157,0.22,0.483,0.612,0.422,0.401,0.4,0.362,0.597,0.083,65.0,0.972,0.332,0.323,0.0,0.0
8,Markieff Morris,2017,WAS,0.48,13.8,0.699,0.194,0.157,0.233,0.115,0.301,0.529,0.699,0.491,0.506,0.342,0.367,0.669,0.045,23.0,1.0,0.271,0.321,5.0,0.0
9,Markieff Morris,2018,TOT,0.421,14.6,0.581,0.221,0.169,0.151,0.039,0.419,0.484,0.654,0.415,0.342,0.368,0.335,0.581,0.035,15.0,0.985,0.241,0.286,1.0,0.0
10,Markieff Morris,2018,WAS,0.436,15.2,0.561,0.207,0.159,0.159,0.037,0.439,0.516,0.706,0.423,0.385,0.417,0.333,0.579,0.04,12.0,0.979,0.174,0.32,1.0,0.0
11,Markieff Morris,2018,OKC,0.391,13.3,0.622,0.25,0.192,0.135,0.045,0.378,0.423,0.564,0.4,0.238,0.286,0.339,0.585,0.026,3.0,1.0,0.407,0.25,0.0,0.0
0,Monte Morris,2017,DEN,0.667,6.5,0.833,0.667,0.0,0.167,0.0,0.167,0.8,0.75,,1.0,,0.0,0.25,0.0,0.0,,0.0,,0.0,0.0
1,Monte Morris,2018,DEN,0.493,14.0,0.677,0.178,0.221,0.171,0.107,0.323,0.531,0.64,0.497,0.517,0.44,0.414,0.456,0.003,2.0,0.862,0.264,0.45,1.0,0.0
0,Randolph Morris,2006,NYK,0.167,6.2,1.0,0.333,0.5,0.167,0.0,0.0,0.167,0.5,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0
1,Randolph Morris,2007,NYK,0.362,7.2,1.0,0.241,0.448,0.259,0.052,0.0,0.362,0.571,0.385,0.2,0.0,,0.667,0.034,1.0,,,,0.0,0.0
2,Randolph Morris,2008,ATL,0.412,8.9,1.0,0.176,0.294,0.471,0.059,0.0,0.412,0.667,0.2,0.5,0.0,,0.714,0.0,0.0,,,,0.0,0.0
3,Randolph Morris,2009,ATL,0.561,6.3,1.0,0.415,0.293,0.244,0.049,0.0,0.561,0.529,0.583,0.5,1.0,,0.391,0.073,1.0,,,,0.0,0.0
0,Terence Morris,2001,HOU,0.384,13.4,0.73,0.304,0.09,0.048,0.287,0.27,0.455,0.591,0.385,0.357,0.349,0.192,0.646,0.062,18.0,1.0,0.462,0.167,0.0,0.0
1,Terence Morris,2002,HOU,0.466,14.5,0.818,0.278,0.045,0.04,0.455,0.182,0.521,0.633,0.5,0.286,0.475,0.219,0.8,0.057,8.0,1.0,0.344,0.364,0.0,0.0
2,Terence Morris,2005,ORL,0.327,14.6,0.959,0.204,0.02,0.122,0.612,0.041,0.34,0.6,0.0,0.167,0.3,0.0,0.875,0.0,0.0,,0.0,,0.0,0.0
0,Adam Morrison,2006,CHA,0.376,15.7,0.727,0.119,0.178,0.13,0.3,0.273,0.391,0.518,0.381,0.374,0.353,0.337,0.496,0.007,7.0,0.851,0.147,0.395,1.0,1.0
1,Adam Morrison,2008,TOT,0.359,18.7,0.57,0.072,0.081,0.121,0.296,0.43,0.378,0.375,0.333,0.519,0.333,0.333,0.521,0.004,1.0,0.938,0.302,0.448,0.0,0.0
2,Adam Morrison,2008,CHA,0.36,18.7,0.564,0.066,0.085,0.123,0.289,0.436,0.378,0.286,0.333,0.5,0.361,0.337,0.511,0.0,0.0,0.935,0.304,0.429,0.0,0.0
3,Adam Morrison,2008,LAL,0.333,17.9,0.667,0.167,0.0,0.083,0.417,0.333,0.375,1.0,,1.0,0.0,0.25,0.667,0.083,1.0,1.0,0.25,1.0,0.0,0.0
4,Adam Morrison,2009,LAL,0.376,14.9,0.753,0.118,0.2,0.165,0.271,0.247,0.422,0.6,0.529,0.214,0.391,0.238,0.704,0.0,0.0,0.6,0.381,0.125,0.0,0.0
0,Anthony Morrow,2008,GSW,0.478,17.3,0.655,0.142,0.066,0.11,0.337,0.345,0.483,0.526,0.486,0.475,0.467,0.467,0.521,0.002,0.0,0.93,0.304,0.446,0.0,0.0
1,Anthony Morrow,2009,GSW,0.468,17.1,0.563,0.139,0.094,0.148,0.182,0.437,0.477,0.531,0.515,0.481,0.414,0.456,0.434,0.004,2.0,0.957,0.3,0.457,0.0,0.0
2,Anthony Morrow,2010,NJN,0.45,17.7,0.581,0.081,0.115,0.163,0.223,0.419,0.469,0.5,0.451,0.455,0.478,0.423,0.509,0.0,0.0,0.945,0.373,0.402,0.0,0.0
3,Anthony Morrow,2011,NJN,0.413,18.7,0.565,0.053,0.081,0.152,0.28,0.435,0.446,0.571,0.396,0.45,0.435,0.371,0.657,0.002,1.0,0.953,0.423,0.372,1.0,0.0
4,Anthony Morrow,2012,TOT,0.441,16.0,0.703,0.11,0.138,0.145,0.31,0.297,0.471,0.688,0.3,0.571,0.422,0.372,0.542,0.0,0.0,1.0,0.326,0.5,0.0,0.0
5,Anthony Morrow,2012,ATL,0.423,16.6,0.658,0.099,0.126,0.144,0.288,0.342,0.438,0.727,0.214,0.563,0.375,0.395,0.625,0.0,0.0,1.0,0.316,0.5,0.0,0.0
6,Anthony Morrow,2012,DAL,0.5,14.1,0.853,0.147,0.176,0.147,0.382,0.147,0.552,0.6,0.5,0.6,0.538,0.2,0.375,0.0,0.0,1.0,0.4,0.5,0.0,0.0
7,Anthony Morrow,2013,NOP,0.458,16.8,0.625,0.085,0.15,0.179,0.212,0.375,0.462,0.591,0.487,0.462,0.391,0.451,0.653,0.0,0.0,0.932,0.385,0.467,0.0,0.0
8,Anthony Morrow,2014,OKC,0.463,18.1,0.472,0.081,0.111,0.146,0.132,0.528,0.497,0.64,0.5,0.433,0.481,0.434,0.59,0.0,0.0,0.972,0.357,0.5,0.0,0.0
9,Anthony Morrow,2015,OKC,0.408,19.1,0.387,0.06,0.093,0.114,0.117,0.613,0.442,0.5,0.484,0.342,0.487,0.387,0.526,0.0,0.0,0.911,0.412,0.393,0.0,0.0
10,Anthony Morrow,2016,TOT,0.389,18.0,0.472,0.063,0.155,0.151,0.099,0.528,0.479,0.563,0.538,0.395,0.48,0.308,0.596,0.0,0.0,0.976,0.338,0.267,0.0,0.0
11,Anthony Morrow,2016,OKC,0.386,18.1,0.466,0.063,0.152,0.143,0.103,0.534,0.49,0.571,0.588,0.344,0.522,0.294,0.608,0.0,0.0,0.971,0.303,0.222,0.0,0.0
12,Anthony Morrow,2016,CHI,0.414,17.1,0.517,0.069,0.172,0.207,0.069,0.483,0.4,0.5,0.2,0.667,0.0,0.429,0.5,0.0,0.0,1.0,0.643,0.444,0.0,0.0
0,Donatas Motiejunas,2012,HOU,0.455,12.6,0.61,0.258,0.286,0.033,0.033,0.39,0.562,0.727,0.492,0.143,0.286,0.289,0.781,0.028,6.0,1.0,0.566,0.319,0.0,0.0
1,Donatas Motiejunas,2013,HOU,0.443,11.1,0.716,0.304,0.351,0.034,0.027,0.284,0.519,0.589,0.471,0.6,0.25,0.25,0.727,0.034,7.0,1.0,0.333,0.357,5.0,0.0
2,Donatas Motiejunas,2014,HOU,0.504,8.8,0.81,0.28,0.466,0.051,0.013,0.19,0.536,0.643,0.5,0.361,0.222,0.368,0.595,0.026,17.0,0.98,0.429,0.351,1.0,0.0
3,Donatas Motiejunas,2015,HOU,0.439,10.8,0.722,0.205,0.4,0.098,0.02,0.278,0.5,0.595,0.488,0.35,0.5,0.281,0.716,0.01,2.0,1.0,0.368,0.143,0.0,0.0
4,Donatas Motiejunas,2016,NOP,0.413,12.4,0.659,0.188,0.399,0.065,0.007,0.341,0.505,0.692,0.436,0.444,0.0,0.234,0.739,0.014,2.0,1.0,0.17,0.375,0.0,0.0
5,Donatas Motiejunas,2018,SAS,0.5,7.8,1.0,0.333,0.333,0.333,0.0,0.0,0.5,0.5,0.5,0.5,,,1.0,0.0,0.0,,,,0.0,0.0
0,Johnathan Motley,2017,DAL,0.533,7.8,0.92,0.32,0.4,0.08,0.12,0.08,0.565,0.792,0.433,0.5,0.444,0.167,0.667,0.093,7.0,1.0,0.167,0.0,1.0,0.0
1,Johnathan Motley,2018,LAC,0.534,4.7,0.959,0.493,0.397,0.068,0.0,0.041,0.557,0.722,0.414,0.2,,0.0,0.615,0.205,14.0,,0.333,0.0,0.0,0.0
0,Hanno Mottola,2000,ATL,0.444,9.8,0.989,0.274,0.217,0.235,0.264,0.011,0.449,0.618,0.283,0.492,0.37,0.0,0.707,0.032,9.0,,0.0,,0.0,0.0
1,Hanno Mottola,2001,ATL,0.44,10.0,0.966,0.331,0.154,0.174,0.307,0.034,0.453,0.528,0.356,0.284,0.517,0.077,0.726,0.018,6.0,0.0,0.308,0.0,0.0,0.0
0,Arnett Moultrie,2012,PHI,0.582,6.6,1.0,0.56,0.142,0.112,0.187,0.0,0.582,0.693,0.421,0.267,0.56,,0.667,0.157,20.0,,,,0.0,0.0
1,Arnett Moultrie,2013,PHI,0.421,10.3,1.0,0.342,0.105,0.211,0.342,0.0,0.421,0.615,0.0,0.25,0.462,,0.75,0.079,3.0,,,,0.0,0.0
0,Alonzo Mourning,2000,MIA,0.518,7.2,0.993,0.39,0.241,0.248,0.113,0.007,0.521,0.727,0.441,0.371,0.313,0.0,0.63,0.149,20.0,,0.0,,0.0,0.0
1,Alonzo Mourning,2001,MIA,0.516,7.3,0.997,0.371,0.263,0.208,0.155,0.003,0.517,0.71,0.43,0.35,0.425,0.333,0.635,0.166,134.0,1.0,0.333,1.0,0.0,0.0
2,Alonzo Mourning,2003,NJN,0.465,8.2,1.0,0.366,0.225,0.169,0.239,0.0,0.465,0.654,0.563,0.25,0.235,,0.667,0.141,10.0,,,,0.0,0.0
3,Alonzo Mourning,2004,TOT,0.472,6.6,1.0,0.453,0.241,0.108,0.198,0.0,0.472,0.563,0.451,0.348,0.357,,0.67,0.156,31.0,,,,0.0,0.0
4,Alonzo Mourning,2004,NJN,0.453,7.2,1.0,0.427,0.213,0.133,0.227,0.0,0.453,0.516,0.438,0.4,0.382,,0.706,0.14,21.0,,,,0.0,0.0
5,Alonzo Mourning,2004,MIA,0.516,4.9,1.0,0.516,0.306,0.048,0.129,0.0,0.516,0.656,0.474,0.0,0.25,,0.594,0.194,10.0,,,,0.0,0.0
6,Alonzo Mourning,2005,MIA,0.597,3.7,0.997,0.549,0.34,0.067,0.041,0.003,0.599,0.775,0.402,0.238,0.462,0.0,0.622,0.241,74.0,,0.0,,0.0,0.0
7,Alonzo Mourning,2006,MIA,0.56,3.9,1.0,0.482,0.438,0.056,0.024,0.0,0.56,0.722,0.452,0.208,0.1,,0.655,0.219,86.0,,,,0.0,0.0
8,Alonzo Mourning,2007,MIA,0.547,3.9,1.0,0.453,0.505,0.032,0.011,0.0,0.547,0.721,0.417,0.333,0.0,,0.577,0.232,20.0,,,,0.0,0.0
0,Timofey Mozgov,2010,TOT,0.474,6.3,1.0,0.534,0.195,0.09,0.18,0.0,0.474,0.648,0.154,0.5,0.292,,0.683,0.248,28.0,,,,0.0,0.0
1,Timofey Mozgov,2010,NYK,0.464,6.3,1.0,0.563,0.17,0.08,0.188,0.0,0.464,0.651,0.053,0.444,0.286,,0.654,0.268,26.0,,,,0.0,0.0
2,Timofey Mozgov,2010,DEN,0.524,6.6,1.0,0.381,0.333,0.143,0.143,0.0,0.524,0.625,0.429,0.667,0.333,,0.818,0.143,2.0,,,,0.0,0.0
3,Timofey Mozgov,2011,DEN,0.526,5.1,1.0,0.568,0.232,0.089,0.111,0.0,0.526,0.574,0.455,0.647,0.333,,0.8,0.216,35.0,,,,0.0,0.0
4,Timofey Mozgov,2012,DEN,0.506,6.6,0.977,0.552,0.172,0.115,0.138,0.023,0.518,0.646,0.333,0.4,0.333,0.0,0.659,0.218,14.0,,0.5,0.0,0.0,0.0
5,Timofey Mozgov,2013,DEN,0.523,5.2,0.956,0.561,0.301,0.04,0.053,0.044,0.539,0.637,0.409,0.409,0.345,0.167,0.754,0.206,95.0,1.0,0.167,0.0,0.0,0.0
6,Timofey Mozgov,2014,TOT,0.555,4.9,0.989,0.597,0.212,0.065,0.115,0.011,0.557,0.692,0.333,0.27,0.431,0.333,0.756,0.253,128.0,1.0,0.833,0.4,0.0,0.0
7,Timofey Mozgov,2014,DEN,0.504,6.1,0.974,0.543,0.185,0.099,0.147,0.026,0.509,0.635,0.395,0.174,0.412,0.333,0.704,0.194,37.0,1.0,0.833,0.4,0.0,0.0
8,Timofey Mozgov,2014,CLE,0.59,4.1,1.0,0.635,0.231,0.042,0.093,0.0,0.59,0.726,0.299,0.429,0.452,,0.787,0.293,91.0,,,,0.0,0.0
9,Timofey Mozgov,2015,CLE,0.565,4.7,0.981,0.61,0.178,0.103,0.089,0.019,0.574,0.689,0.391,0.297,0.469,0.143,0.851,0.251,78.0,1.0,0.857,0.167,0.0,0.0
10,Timofey Mozgov,2016,LAL,0.515,6.9,0.997,0.439,0.259,0.125,0.174,0.003,0.517,0.66,0.353,0.439,0.456,0.0,0.746,0.186,52.0,,0.0,,0.0,0.0
11,Timofey Mozgov,2017,BRK,0.559,7.3,0.806,0.548,0.183,0.043,0.032,0.194,0.64,0.725,0.529,0.25,0.333,0.222,0.771,0.204,18.0,1.0,0.833,0.267,1.0,0.0
0,Emmanuel Mudiay,2015,DEN,0.364,12.7,0.744,0.293,0.117,0.146,0.186,0.256,0.379,0.475,0.292,0.311,0.339,0.319,0.286,0.018,14.0,0.73,0.078,0.278,1.0,0.0
1,Emmanuel Mudiay,2016,DEN,0.377,12.6,0.677,0.363,0.113,0.111,0.094,0.323,0.408,0.505,0.29,0.262,0.327,0.315,0.368,0.025,12.0,0.911,0.208,0.297,1.0,0.0
2,Emmanuel Mudiay,2017,TOT,0.388,12.8,0.719,0.238,0.203,0.154,0.124,0.281,0.415,0.56,0.336,0.358,0.338,0.318,0.306,0.013,7.0,0.787,0.169,0.52,3.0,0.0
3,Emmanuel Mudiay,2017,DEN,0.401,12.9,0.683,0.23,0.22,0.143,0.09,0.317,0.414,0.5,0.394,0.348,0.345,0.373,0.33,0.012,4.0,0.763,0.206,0.571,2.0,0.0
4,Emmanuel Mudiay,2017,NYK,0.368,12.6,0.775,0.25,0.176,0.172,0.176,0.225,0.418,0.647,0.222,0.371,0.333,0.196,0.273,0.015,3.0,0.889,0.087,0.25,1.0,0.0
5,Emmanuel Mudiay,2018,NYK,0.446,12.7,0.716,0.322,0.115,0.169,0.111,0.284,0.492,0.538,0.388,0.488,0.476,0.329,0.226,0.015,10.0,0.855,0.157,0.424,0.0,0.0
0,Shabazz Muhammad,2013,MIN,0.46,8.9,0.911,0.323,0.282,0.21,0.097,0.089,0.478,0.475,0.486,0.5,0.417,0.273,0.537,0.073,7.0,1.0,0.273,0.333,0.0,0.0
1,Shabazz Muhammad,2014,MIN,0.489,9.1,0.872,0.365,0.264,0.134,0.108,0.128,0.503,0.676,0.448,0.283,0.326,0.392,0.638,0.108,38.0,0.95,0.431,0.409,0.0,0.0
2,Shabazz Muhammad,2015,MIN,0.465,9.6,0.777,0.373,0.232,0.094,0.078,0.223,0.516,0.65,0.418,0.359,0.358,0.289,0.615,0.093,60.0,1.0,0.421,0.406,1.0,0.0
3,Shabazz Muhammad,2016,MIN,0.482,10.3,0.756,0.353,0.244,0.119,0.04,0.244,0.529,0.697,0.425,0.324,0.292,0.336,0.674,0.099,53.0,0.98,0.39,0.404,0.0,0.0
4,Shabazz Muhammad,2017,TOT,0.447,7.6,0.856,0.378,0.346,0.09,0.043,0.144,0.478,0.62,0.4,0.176,0.5,0.259,0.545,0.096,14.0,0.857,0.37,0.4,0.0,0.0
5,Shabazz Muhammad,2017,MIN,0.388,8.2,0.843,0.322,0.388,0.091,0.041,0.157,0.422,0.538,0.383,0.091,0.6,0.211,0.535,0.099,9.0,1.0,0.368,0.286,0.0,0.0
6,Shabazz Muhammad,2017,MIL,0.552,6.6,0.881,0.478,0.269,0.09,0.045,0.119,0.576,0.719,0.444,0.333,0.333,0.375,0.559,0.09,5.0,0.667,0.375,0.667,0.0,0.0
0,Byron Mullens,2009,OKC,0.368,10.0,1.0,0.316,0.105,0.211,0.368,0.0,0.368,0.5,0.0,0.5,0.286,,0.714,0.105,2.0,,,,0.0,0.0
1,Byron Mullens,2010,OKC,0.321,8.9,1.0,0.393,0.214,0.071,0.321,0.0,0.321,0.455,0.167,0.5,0.222,,0.778,0.179,4.0,,,,0.0,0.0
2,Byron Mullens,2011,CHA,0.425,12.8,0.914,0.306,0.083,0.086,0.438,0.086,0.443,0.646,0.306,0.353,0.344,0.235,0.736,0.102,53.0,0.667,0.059,0.0,1.0,0.0
3,Byron Mullens,2012,CHA,0.385,15.9,0.631,0.181,0.107,0.146,0.197,0.369,0.425,0.618,0.4,0.354,0.315,0.317,0.623,0.057,28.0,0.955,0.183,0.474,0.0,0.0
4,Byron Mullens,2013,TOT,0.442,17.3,0.461,0.212,0.079,0.073,0.097,0.539,0.526,0.714,0.231,0.5,0.375,0.371,0.6,0.085,11.0,0.97,0.09,0.25,0.0,0.0
5,Byron Mullens,2013,LAC,0.406,18.6,0.391,0.188,0.078,0.016,0.109,0.609,0.52,0.583,0.2,1.0,0.571,0.333,0.615,0.094,4.0,0.923,0.077,0.667,0.0,0.0
6,Byron Mullens,2013,PHI,0.465,16.5,0.505,0.228,0.079,0.109,0.089,0.495,0.529,0.783,0.25,0.455,0.222,0.4,0.593,0.079,7.0,1.0,0.1,0.0,0.0,0.0
0,Chris Mullin,2000,GSW,0.34,18.8,0.509,0.038,0.094,0.113,0.264,0.491,0.315,0.5,0.1,0.417,0.321,0.365,0.647,0.0,0.0,1.0,0.365,0.368,0.0,0.0
0,Xavier Munford,2015,MEM,0.416,13.5,0.701,0.156,0.273,0.13,0.143,0.299,0.426,0.5,0.429,0.3,0.455,0.391,0.304,0.013,1.0,0.778,0.217,0.4,0.0,0.0
1,Xavier Munford,2017,MIL,0.167,14.8,0.667,0.167,0.167,0.167,0.167,0.333,0.25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
0,Erik Murphy,2013,CHI,0.231,14.6,0.769,0.077,0.308,0.077,0.308,0.231,0.3,1.0,0.25,0.0,0.25,0.0,1.0,0.0,0.0,,0.333,0.0,0.0,0.0
0,Kevin Murphy,2012,UTA,0.25,16.5,0.821,0.107,0.107,0.214,0.393,0.179,0.261,1.0,0.667,0.167,0.0,0.2,0.833,0.036,1.0,1.0,0.0,,0.0,0.0
0,Troy Murphy,2001,GSW,0.421,12.5,0.979,0.203,0.137,0.168,0.47,0.021,0.423,0.628,0.328,0.423,0.362,0.333,0.771,0.043,18.0,1.0,0.333,0.667,1.0,0.0
1,Troy Murphy,2002,GSW,0.451,11.1,0.981,0.284,0.138,0.147,0.413,0.019,0.456,0.577,0.291,0.473,0.421,0.214,0.743,0.048,35.0,1.0,0.286,0.25,0.0,0.0
2,Troy Murphy,2003,GSW,0.44,12.1,0.93,0.272,0.128,0.074,0.457,0.07,0.451,0.591,0.194,0.278,0.468,0.294,0.794,0.033,7.0,1.0,0.471,0.375,0.0,0.0
3,Troy Murphy,2004,GSW,0.414,12.1,0.844,0.281,0.165,0.079,0.319,0.156,0.417,0.534,0.282,0.347,0.401,0.399,0.649,0.038,34.0,0.966,0.176,0.423,0.0,0.0
4,Troy Murphy,2005,GSW,0.433,12.7,0.784,0.272,0.172,0.074,0.266,0.216,0.464,0.632,0.326,0.355,0.413,0.32,0.6,0.047,35.0,0.983,0.127,0.261,1.0,0.0
5,Troy Murphy,2006,TOT,0.458,15.8,0.747,0.191,0.076,0.081,0.399,0.253,0.479,0.613,0.295,0.404,0.466,0.395,0.678,0.043,24.0,0.966,0.143,0.476,0.0,0.0
6,Troy Murphy,2006,GSW,0.45,15.8,0.672,0.189,0.111,0.083,0.289,0.328,0.488,0.706,0.2,0.4,0.481,0.373,0.661,0.033,6.0,1.0,0.119,0.571,0.0,0.0
7,Troy Murphy,2006,IND,0.461,15.7,0.781,0.192,0.06,0.08,0.449,0.219,0.476,0.571,0.375,0.406,0.461,0.409,0.685,0.047,18.0,0.944,0.159,0.429,0.0,0.0
8,Troy Murphy,2007,IND,0.455,15.3,0.659,0.232,0.091,0.063,0.273,0.341,0.484,0.64,0.317,0.523,0.397,0.398,0.656,0.059,38.0,0.989,0.089,0.286,0.0,0.0
9,Troy Murphy,2008,IND,0.475,16.7,0.533,0.232,0.047,0.069,0.185,0.467,0.496,0.629,0.361,0.453,0.38,0.45,0.522,0.033,25.0,1.0,0.056,0.45,0.0,0.0
10,Troy Murphy,2009,IND,0.472,15.9,0.59,0.258,0.058,0.053,0.221,0.41,0.533,0.614,0.447,0.512,0.467,0.384,0.629,0.047,36.0,1.0,0.027,0.222,0.0,0.0
11,Troy Murphy,2010,TOT,0.368,14.9,0.711,0.211,0.088,0.14,0.272,0.289,0.457,0.625,0.3,0.375,0.419,0.152,0.622,0.044,5.0,0.8,0.182,0.0,0.0,0.0
12,Troy Murphy,2010,NJN,0.342,16.4,0.697,0.132,0.079,0.184,0.303,0.303,0.415,0.5,0.333,0.429,0.391,0.174,0.682,0.013,1.0,1.0,0.174,0.0,0.0,0.0
13,Troy Murphy,2010,BOS,0.421,12.1,0.737,0.368,0.105,0.053,0.211,0.263,0.536,0.714,0.25,0.0,0.5,0.1,0.533,0.105,4.0,0.0,0.2,0.0,0.0,0.0
14,Troy Murphy,2011,LAL,0.45,17.7,0.608,0.158,0.047,0.047,0.357,0.392,0.471,0.519,0.25,0.625,0.459,0.418,0.878,0.012,2.0,1.0,0.254,0.412,0.0,0.0
15,Troy Murphy,2012,DAL,0.361,19.4,0.426,0.131,0.033,0.066,0.197,0.574,0.423,0.625,0.5,0.25,0.333,0.314,0.727,0.0,0.0,1.0,0.286,0.3,0.0,0.0
0,Dejounte Murray,2016,SAS,0.431,9.7,0.802,0.293,0.362,0.095,0.052,0.198,0.441,0.559,0.452,0.182,0.167,0.391,0.415,0.026,3.0,0.889,0.217,0.6,0.0,0.0
1,Dejounte Murray,2017,SAS,0.443,7.4,0.944,0.412,0.223,0.21,0.099,0.056,0.454,0.586,0.36,0.344,0.367,0.265,0.33,0.028,15.0,1.0,0.618,0.286,0.0,0.0
0,Jamal Murray,2016,DEN,0.404,16.5,0.529,0.226,0.096,0.09,0.116,0.471,0.466,0.612,0.357,0.379,0.341,0.334,0.483,0.026,17.0,0.713,0.218,0.413,8.0,0.0
1,Jamal Murray,2017,DEN,0.451,15.1,0.589,0.194,0.158,0.116,0.121,0.411,0.502,0.621,0.452,0.48,0.395,0.378,0.398,0.03,27.0,0.77,0.126,0.455,5.0,0.0
2,Jamal Murray,2018,DEN,0.437,15.1,0.647,0.184,0.16,0.169,0.134,0.353,0.476,0.583,0.399,0.439,0.465,0.367,0.526,0.025,25.0,0.684,0.089,0.568,2.0,0.0
0,Lamond Murray,2000,CLE,0.423,13.3,0.822,0.217,0.145,0.157,0.303,0.178,0.434,0.617,0.269,0.434,0.382,0.37,0.594,0.039,34.0,0.934,0.455,0.373,1.0,0.0
1,Lamond Murray,2001,CLE,0.436,14.5,0.759,0.192,0.118,0.171,0.278,0.241,0.44,0.55,0.431,0.456,0.358,0.424,0.587,0.044,35.0,0.881,0.34,0.519,2.0,0.0
