,Full Name,Year,Tm,FG%,Dist.,2P_A,0-3_A,3-10_A,10-16_A,16-3pt_A,3P_A,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,Astd_2P,Dunk%,Dunks_Md,Astd_3P,%Corner3_A,Corner_3P%,Heaves_A,Heaves_Md
1,Mason Plumlee,2014,BRK,0.573,2.6,0.994,0.744,0.233,0.012,0.004,0.006,0.576,0.646,0.377,0.167,0.5,0.0,0.682,0.243,108.0,,0.0,,3.0,0.0
2,Mason Plumlee,2015,POR,0.516,3.6,0.992,0.619,0.282,0.058,0.033,0.008,0.52,0.631,0.342,0.333,0.294,0.0,0.689,0.184,86.0,,0.0,,2.0,0.0
3,Mason Plumlee,2016,TOT,0.536,5.0,0.99,0.624,0.197,0.08,0.09,0.01,0.541,0.656,0.398,0.32,0.25,0.0,0.719,0.226,131.0,,0.0,,5.0,0.0
4,Mason Plumlee,2016,POR,0.532,5.3,0.989,0.609,0.19,0.081,0.109,0.011,0.538,0.658,0.381,0.389,0.25,0.0,0.74,0.215,90.0,,0.0,,4.0,0.0
5,Mason Plumlee,2016,DEN,0.547,4.2,0.994,0.663,0.215,0.077,0.044,0.006,0.55,0.65,0.436,0.143,0.25,0.0,0.667,0.254,41.0,,0.0,,1.0,0.0
6,Mason Plumlee,2017,DEN,0.601,2.9,0.997,0.674,0.264,0.035,0.024,0.003,0.602,0.714,0.371,0.385,0.333,0.0,0.715,0.31,103.0,,0.0,,0.0,0.0
7,Mason Plumlee,2018,DEN,0.593,4.6,0.977,0.602,0.283,0.059,0.034,0.023,0.602,0.744,0.36,0.538,0.2,0.2,0.704,0.283,117.0,1.0,0.1,0.0,3.0,0.0
0,Miles Plumlee,2012,IND,0.238,7.4,1.0,0.333,0.429,0.19,0.048,0.0,0.238,0.429,0.222,0.0,0.0,,0.4,0.143,2.0,,,,0.0,0.0
1,Miles Plumlee,2013,PHO,0.517,4.5,1.0,0.515,0.376,0.081,0.027,0.0,0.517,0.691,0.341,0.311,0.267,,0.591,0.221,103.0,,,,0.0,0.0
2,Miles Plumlee,2014,TOT,0.535,3.6,1.0,0.61,0.291,0.087,0.012,0.0,0.535,0.639,0.365,0.364,0.667,,0.654,0.193,43.0,,,,0.0,0.0
3,Miles Plumlee,2014,PHO,0.549,3.8,1.0,0.6,0.297,0.087,0.015,0.0,0.549,0.65,0.379,0.412,0.667,,0.607,0.185,33.0,,,,0.0,0.0
4,Miles Plumlee,2014,MIL,0.492,3.0,1.0,0.644,0.271,0.085,0.0,0.0,0.492,0.605,0.313,0.2,,,0.828,0.22,10.0,,,,0.0,0.0
5,Miles Plumlee,2015,MIL,0.601,2.6,1.0,0.687,0.258,0.043,0.013,0.0,0.601,0.638,0.55,0.5,0.0,,0.75,0.305,64.0,,,,0.0,0.0
6,Miles Plumlee,2016,TOT,0.478,3.1,1.0,0.598,0.348,0.054,0.0,0.0,0.478,0.564,0.375,0.2,,,0.864,0.261,19.0,,,,0.0,0.0
7,Miles Plumlee,2016,MIL,0.441,3.3,1.0,0.574,0.368,0.059,0.0,0.0,0.441,0.538,0.32,0.25,,,0.9,0.25,13.0,,,,0.0,0.0
8,Miles Plumlee,2016,CHO,0.583,2.5,1.0,0.667,0.292,0.042,0.0,0.0,0.583,0.625,0.571,0.0,,,0.786,0.292,6.0,,,,0.0,0.0
9,Miles Plumlee,2017,ATL,0.583,3.0,1.0,0.65,0.267,0.061,0.022,0.0,0.583,0.709,0.333,0.455,0.25,,0.781,0.35,55.0,,,,0.0,0.0
10,Miles Plumlee,2018,ATL,0.667,3.4,1.0,0.708,0.188,0.083,0.021,0.0,0.667,0.735,0.667,0.25,0.0,,0.625,0.417,14.0,,,,0.0,0.0
1,Pavel Podkolzin,2005,DAL,0.0,13.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,,,0.0,0.0
0,Jakob Poeltl,2016,TOR,0.583,2.6,1.0,0.722,0.235,0.035,0.009,0.0,0.583,0.614,0.519,0.5,0.0,,0.687,0.096,10.0,,,,0.0,0.0
1,Jakob Poeltl,2017,TOR,0.659,2.4,0.995,0.734,0.211,0.047,0.003,0.005,0.66,0.734,0.444,0.5,0.0,0.5,0.73,0.102,37.0,1.0,1.0,0.5,0.0,0.0
2,Jakob Poeltl,2018,SAS,0.645,2.9,1.0,0.7,0.248,0.041,0.01,0.0,0.645,0.709,0.486,0.417,1.0,,0.706,0.107,28.0,,,,0.0,0.0
0,Scot Pollard,2000,SAC,0.468,3.1,0.995,0.61,0.314,0.061,0.01,0.005,0.471,0.598,0.282,0.208,0.25,0.0,0.659,0.076,28.0,,0.0,,0.0,0.0
1,Scot Pollard,2001,SAC,0.55,2.7,1.0,0.676,0.251,0.042,0.031,0.0,0.55,0.612,0.433,0.267,0.545,,0.604,0.115,37.0,,,,0.0,0.0
2,Scot Pollard,2002,SAC,0.46,3.7,1.0,0.621,0.241,0.08,0.057,0.0,0.46,0.537,0.476,0.143,0.0,,0.525,0.115,9.0,,,,0.0,0.0
3,Scot Pollard,2003,IND,0.412,4.2,1.0,0.658,0.158,0.114,0.07,0.0,0.412,0.493,0.167,0.154,0.625,,0.617,0.009,1.0,,,,0.0,0.0
4,Scot Pollard,2004,IND,0.473,6.6,1.0,0.545,0.108,0.204,0.144,0.0,0.473,0.604,0.333,0.235,0.417,,0.633,0.012,2.0,,,,0.0,0.0
5,Scot Pollard,2005,IND,0.455,7.4,1.0,0.468,0.143,0.221,0.169,0.0,0.455,0.569,0.409,0.412,0.231,,0.757,0.013,2.0,,,,0.0,0.0
