,Team,Payroll,year,salary_cap,portion,Tm
214,Miami,74767603.0,2007,55630000,1.34,MIA
215,Boston,74509455.0,2007,55630000,1.34,BOS
216,Philadelphia,74038229.0,2007,55630000,1.33,PHI
217,Portland,73241335.0,2007,55630000,1.32,POR
218,LA Lakers,72626796.0,2007,55630000,1.31,LAL
219,Phoenix,71323049.0,2007,55630000,1.28,PHO
220,San Antonio,70048523.0,2007,55630000,1.26,SAS
221,Houston,69894114.0,2007,55630000,1.26,HOU
222,Minnesota,69043895.0,2007,55630000,1.24,MIN
223,Indiana,66260246.0,2007,55630000,1.19,IND
224,Toronto,66042375.0,2007,55630000,1.19,TOR
225,Detroit,65898875.0,2007,55630000,1.18,DET
226,Washington,65278996.0,2007,55630000,1.17,WAS
227,Utah,64959089.0,2007,55630000,1.17,UTA
228,LA Clippers,64847945.0,2007,55630000,1.17,LAC
229,Sacramento,63403225.0,2007,55630000,1.14,SAC
230,Chicago,63084166.0,2007,55630000,1.13,CHI
231,New Orleans,62609991.0,2007,55630000,1.13,NOH
232,Milwaukee,62571522.0,2007,55630000,1.12,MIL
233,Golden State,62148303.0,2007,55630000,1.12,GSW
234,Brooklyn,61836211.0,2007,55630000,1.11,BRK
235,Oklahoma City,60861388.0,2007,55630000,1.09,OKC
236,Orlando,58165973.0,2007,55630000,1.05,ORL
237,Atlanta,55501133.0,2007,55630000,1.0,ATL
238,Memphis,54118526.0,2007,55630000,0.97,MEM
239,Charlotte,53745468.0,2007,55630000,0.97,CHH
240,New York,96643646.0,2008,58680000,1.65,NYK
241,Dallas,95045559.0,2008,58680000,1.62,DAL
242,Cleveland,91298233.0,2008,58680000,1.56,CLE
243,Portland,80260059.0,2008,58680000,1.37,POR
244,Boston,79188973.0,2008,58680000,1.35,BOS
245,LA Lakers,78245793.0,2008,58680000,1.33,LAL
246,Phoenix,76130408.0,2008,58680000,1.3,PHO
247,Toronto,73446970.0,2008,58680000,1.25,TOR
248,Houston,73302272.0,2008,58680000,1.25,HOU
249,Detroit,71434174.0,2008,58680000,1.22,DET
250,Milwaukee,71360656.0,2008,58680000,1.22,MIL
251,Washington,70743317.0,2008,58680000,1.21,WAS
252,Miami,70297059.0,2008,58680000,1.2,MIA
253,Denver,70121003.0,2008,58680000,1.19,DEN
254,Orlando,69672979.0,2008,58680000,1.19,ORL
255,Indiana,69668818.0,2008,58680000,1.19,IND
256,Sacramento,69204512.0,2008,58680000,1.18,SAC
257,Oklahoma City,68341605.0,2008,58680000,1.16,OKC
258,Philadelphia,68301007.0,2008,58680000,1.16,PHI
259,Atlanta,68168841.0,2008,58680000,1.16,ATL
260,Chicago,68126774.0,2008,58680000,1.16,CHI
261,San Antonio,68020487.0,2008,58680000,1.16,SAS
262,New Orleans,67530808.0,2008,58680000,1.15,NOH
263,Golden State,67416431.0,2008,58680000,1.15,GSW
264,Minnesota,66445144.0,2008,58680000,1.13,MIN
265,Utah,65841407.0,2008,58680000,1.12,UTA
266,Charlotte,62866926.0,2008,58680000,1.07,CHH
267,LA Clippers,62764206.0,2008,58680000,1.07,LAC
268,Brooklyn,62666523.0,2008,58680000,1.07,BRK
269,Memphis,55958148.0,2008,58680000,0.95,MEM
270,LA Lakers,91378064.0,2009,57700000,1.58,LAL
271,Dallas,88916075.0,2009,57700000,1.54,DAL
272,New York,85710076.0,2009,57700000,1.49,NYK
273,Boston,83552174.0,2009,57700000,1.45,BOS
274,Cleveland,83398534.0,2009,57700000,1.45,CLE
275,Orlando,82200916.0,2009,57700000,1.42,ORL
276,San Antonio,79338309.0,2009,57700000,1.38,SAS
277,Denver,74935538.0,2009,57700000,1.3,DEN
278,Miami,74208013.0,2009,57700000,1.29,MIA
279,Washington,73440274.0,2009,57700000,1.27,WAS
280,Utah,71905244.0,2009,57700000,1.25,UTA
281,New Orleans,70163827.0,2009,57700000,1.22,NOH
282,Chicago,69700359.0,2009,57700000,1.21,CHI
283,Houston,69095315.0,2009,57700000,1.2,HOU
284,Charlotte,68681758.0,2009,57700000,1.19,CHH
285,Toronto,67822433.0,2009,57700000,1.18,TOR
286,Sacramento,67515718.0,2009,57700000,1.17,SAC
287,Milwaukee,66775602.0,2009,57700000,1.16,MIL
288,Indiana,66733257.0,2009,57700000,1.16,IND
289,Atlanta,65883642.0,2009,57700000,1.14,ATL
290,Golden State,65352372.0,2009,57700000,1.13,GSW
291,Phoenix,65288544.0,2009,57700000,1.13,PHO
292,Philadelphia,64883448.0,2009,57700000,1.12,PHI
293,Minnesota,62253360.0,2009,57700000,1.08,MIN
294,LA Clippers,61616409.0,2009,57700000,1.07,LAC
295,Detroit,60185833.0,2009,57700000,1.04,DET
296,Brooklyn,59366715.0,2009,57700000,1.03,BRK
297,Oklahoma City,58578614.0,2009,57700000,1.02,OKC
298,Memphis,57287474.0,2009,57700000,0.99,MEM
299,Portland,56946258.0,2009,57700000,0.99,POR
300,LA Lakers,91428140.0,2010,58044000,1.58,LAL
301,Orlando,90770804.0,2010,58044000,1.56,ORL
302,Dallas,85409890.0,2010,58044000,1.47,DAL
303,Boston,82045867.0,2010,58044000,1.41,BOS
304,Utah,75855296.0,2010,58044000,1.31,UTA
305,Portland,74584058.0,2010,58044000,1.28,POR
306,Houston,72315654.0,2010,58044000,1.25,HOU
307,Atlanta,71469843.0,2010,58044000,1.23,ATL
308,Memphis,70241344.0,2010,58044000,1.21,MEM
309,Toronto,69992648.0,2010,58044000,1.21,TOR
310,San Antonio,69522311.0,2010,58044000,1.2,SAS
311,Milwaukee,69076690.0,2010,58044000,1.19,MIL
312,Philadelphia,68915246.0,2010,58044000,1.19,PHI
313,Golden State,68415336.0,2010,58044000,1.18,GSW
314,New Orleans,68230729.0,2010,58044000,1.18,NOH
315,Denver,68019290.0,2010,58044000,1.17,DEN
316,New York,67016562.0,2010,58044000,1.15,NYK
317,Charlotte,66542696.0,2010,58044000,1.15,CHH
318,Miami,66205855.0,2010,58044000,1.14,MIA
319,Phoenix,65979054.0,2010,58044000,1.14,PHO
320,Detroit,65517821.0,2010,58044000,1.13,DET
321,Indiana,65088630.0,2010,58044000,1.12,IND
322,Brooklyn,58495989.0,2010,58044000,1.01,BRK
323,Washington,58324988.0,2010,58044000,1.0,WAS
324,Oklahoma City,55922488.0,2010,58044000,0.96,OKC
325,Chicago,54538076.0,2010,58044000,0.94,CHI
326,Cleveland,53990021.0,2010,58044000,0.93,CLE
327,Minnesota,53461123.0,2010,58044000,0.92,MIN
328,LA Clippers,53225329.0,2010,58044000,0.92,LAC
329,Sacramento,45268465.0,2010,58044000,0.78,SAC
330,LA Lakers,88264478.0,2011,58044000,1.52,LAL
331,Orlando,87955505.0,2011,58044000,1.52,ORL
332,Portland,80920717.0,2011,58044000,1.39,POR
333,Phoenix,80640576.0,2011,58044000,1.39,PHO
334,Boston,79820530.0,2011,58044000,1.38,BOS
335,Dallas,77180233.0,2011,58044000,1.33,DAL
336,New York,77093212.0,2011,58044000,1.33,NYK
337,Miami,75469639.0,2011,58044000,1.3,MIA
338,San Antonio,73732762.0,2011,58044000,1.27,SAS
339,Atlanta,73669912.0,2011,58044000,1.27,ATL
340,Detroit,70923605.0,2011,58044000,1.22,DET
341,Memphis,70628007.0,2011,58044000,1.22,MEM
342,Chicago,69548447.0,2011,58044000,1.2,CHI
343,LA Clippers,67333389.0,2011,58044000,1.16,LAC
344,Philadelphia,66672368.0,2011,58044000,1.15,PHI
345,New Orleans,65441008.0,2011,58044000,1.13,NOH
346,Brooklyn,65281235.0,2011,58044000,1.12,BRK
347,Cleveland,64875599.0,2011,58044000,1.12,CLE
348,Golden State,61576901.0,2011,58044000,1.06,GSW
349,Milwaukee,60192388.0,2011,58044000,1.04,MIL
350,Oklahoma City,59501709.0,2011,58044000,1.03,OKC
351,Denver,58553173.0,2011,58044000,1.01,DEN
352,Utah,58178016.0,2011,58044000,1.0,UTA
353,Charlotte,57902024.0,2011,58044000,1.0,CHH
354,Houston,57021755.0,2011,58044000,0.98,HOU
355,Minnesota,56844339.0,2011,58044000,0.98,MIN
356,Washington,55386345.0,2011,58044000,0.95,WAS
357,Toronto,55063049.0,2011,58044000,0.95,TOR
358,Indiana,51554083.0,2011,58044000,0.89,IND
359,Sacramento,48950236.0,2011,58044000,0.84,SAC
360,LA Lakers,100131988.0,2012,58044000,1.73,LAL
361,Brooklyn,87644649.0,2012,58044000,1.51,BRK
362,Miami,80427933.0,2012,58044000,1.39,MIA
363,New York,79977119.0,2012,58044000,1.38,NYK
364,Boston,75508399.0,2012,58044000,1.3,BOS
365,Chicago,74491280.0,2012,58044000,1.28,CHI
366,Golden State,70036985.0,2012,58044000,1.21,GSW
367,San Antonio,69838600.0,2012,58044000,1.2,SAS
368,Dallas,69766571.0,2012,58044000,1.2,DAL
369,LA Clippers,69152721.0,2012,58044000,1.19,LAC
370,Oklahoma City,68924100.0,2012,58044000,1.19,OKC
371,Detroit,68807497.0,2012,58044000,1.19,DET
372,Atlanta,66710178.0,2012,58044000,1.15,ATL
373,Philadelphia,66697839.0,2012,58044000,1.15,PHI
374,Orlando,66557496.0,2012,58044000,1.15,ORL
375,Indiana,66107195.0,2012,58044000,1.14,IND
376,Utah,65657569.0,2012,58044000,1.13,UTA
377,Minnesota,64329748.0,2012,58044000,1.11,MIN
378,New Orleans,64134537.0,2012,58044000,1.1,NOH
379,Toronto,63708138.0,2012,58044000,1.1,TOR
