Full Name,Pos,cluster
Kemba Walker,PG,Combo Guard
John Wall,PG,Floor General
T.J. Warren,SF,3-and-D Wing
David West,SF,Offensive Center
Russell Westbrook,PG,Combo Guard
Andrew Wiggins,SF,Shooting Wing
Damien Wilkins,SF,Shooting Wing
Marvin Williams,PF,Versatile Forward
Justise Winslow,SF,3-and-D Wing
Nick Young,SG,Shooting Wing
Thaddeus Young,PF,3-and-D Wing
Tyler Zeller,C,Defensive Center
Paul Zipser,SF,3-and-D Wing
Tony Allen,SG,Shooting Wing
Matt Barnes,SF,Versatile Forward
Brandon Bass,PF,Offensive Center
Bojan Bogdanovic,SF,3-and-D Wing
Jordan Crawford,SG,Combo Guard
Seth Curry,PG,Scoring Wing
Luol Deng,SF,3-and-D Wing
Boris Diaw,SG,Versatile Forward
Goran Dragic,PG,Combo Guard
Mike Dunleavy,SF,3-and-D Wing
Monta Ellis,SG,Combo Guard
Randy Foye,PG,Combo Guard
Montrezl Harrell,C,Offensive Center
Spencer Hawes,C,Offensive Center
Gordon Hayward,SF,Scoring Wing
Gerald Henderson,SG,Shooting Wing
Willy Hernangomez,C,Defensive Center
Solomon Hill,SF,Shooting Wing
Ersan Ilyasova,PF,Offensive Center
Richard Jefferson,SF,3-and-D Wing
Nikola Jokic,C,Defensive Center
Terrence Jones,PF,Offensive Center
Enes Kanter,C,Defensive Center
Michael Kidd-Gilchrist,SF,Versatile Forward
Brandon Knight,PG,Combo Guard
Ty Lawson,PG,Floor General
Alex Len,C,Defensive Center
Jon Leuer,PF,Offensive Center
Jeremy Lin,PG,Floor General
Timothe Luwawu-Cabarrot,SF,Shooting Wing
Luc Mbah a Moute,PF,3-and-D Wing
Josh McRoberts,C,Versatile Forward
Nikola Mirotic,PF,Versatile Forward
Paul Pierce,SF,3-and-D Wing
Kristaps Porzingis,PF,Offensive Center
Andre Roberson,SG,3-and-D Wing
Sergio Rodriguez,PG,Floor General
Brandon Rush,SG,3-and-D Wing
Dario Saric,PF,Versatile Forward
Dennis Schroder,PG,Floor General
Luis Scola,PF,Offensive Center
Kyle Singler,SF,Shooting Wing
Rodney Stuckey,PG,Combo Guard
Jared Sullinger,PF,Offensive Center
Beno Udrih,PG,Combo Guard
Nikola Vucevic,C,Defensive Center
Deron Williams,PG,Floor General
Metta World Peace,SF,Shooting Wing
Steve Blake,PG,Combo Guard
Chris Bosh,C,Offensive Center
Kobe Bryant,SG,Scoring Wing
Caron Butler,SF,3-and-D Wing
Rasual Butler,SG,3-and-D Wing
Kenneth Faried,PF,Defensive Center
Alonzo Gee,SG,3-and-D Wing
Drew Gooden,SF,Offensive Center
P.J. Hairston,SG,Shooting Wing
Kirk Hinrich,PG,Combo Guard
Carl Landry,PF,Offensive Center
Shaun Livingston,PG,Combo Guard
Kendall Marshall,PG,Floor General
Kevin Martin,PG,Shooting Wing
O.J. Mayo,SG,Scoring Wing
Andre Miller,PG,Floor General
Tayshaun Prince,SF,3-and-D Wing
Josh Smith,SF,Offensive Center
Jason Thompson,C,Defensive Center
Charlie Villanueva,PF,Offensive Center
Mo Williams,SG,Floor General
Cody Zeller,C,Offensive Center
Tim Duncan,PF,Defensive Center
Landry Fields,SG,3-and-D Wing
Kevin Garnett,PF,Offensive Center
Ben Gordon,SG,Scoring Wing
Danny Granger,SF,3-and-D Wing
Willie Green,SG,Shooting Wing
Jordan Hill,C,Defensive Center
Al Jefferson,C,Offensive Center
Shawn Marion,SF,Versatile Forward
Mike Miller,SF,3-and-D Wing
Jason Richardson,SG,Shooting Wing
Luke Ridnour,PG,Floor General
John Salmons,PG,Scoring Wing
Henry Sims,C,Offensive Center
Sebastian Telfair,PG,Floor General
Martell Webster,SF,3-and-D Wing
Dorell Wright,SF,3-and-D Wing
Andrea Bargnani,PF,Versatile Forward
Shane Battier,SF,3-and-D Wing
Chauncey Billups,SG,Combo Guard
Andray Blatche,PF,Offensive Center
Earl Clark,PF,Versatile Forward
Glen Davis,C,Versatile Forward
Derek Fisher,PG,Scoring Wing
Al Harrington,PF,Versatile Forward
Roy Hibbert,C,Defensive Center
Dwight Howard,C,Defensive Center
Antawn Jamison,SF,Versatile Forward
Andrei Kirilenko,SF,Versatile Forward
Rashard Lewis,PF,3-and-D Wing
Quincy Miller,PF,3-and-D Wing
Chris Singleton,SF,3-and-D Wing
Gerald Wallace,SF,3-and-D Wing
Keith Bogans,SF,Shooting Wing
Ronnie Brewer,SG,Shooting Wing
Marquis Daniels,SG,Shooting Wing
Carlos Delfino,SG,Shooting Wing
Chris Duhon,PG,Floor General
Richard Hamilton,SF,Shooting Wing
Josh Howard,SF,Versatile Forward
