Full Name,Pos,cluster,Year,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,height,weight,salary,Dist.,2P_A,0-3_A,3-10_A,10-16_A,16-3pt_A,3P_A,0-3%,3-10%,10-16%,16-3pt%,Astd_2P,Dunk%,Dunks_Md,Astd_3P,%Corner3_A,Corner_3P%,Heaves_A,Heaves_Md
Danilo Gallinari,SG,3-and-D Wing,2012.0,24.0,49.36363636363637,42.81818181818182,1554.2727272727273,7.1909090909090905,17.227272727272723,0.4181818181818182,2.872727272727273,7.7727272727272725,0.3660909090909091,4.327272727272727,9.445454545454545,0.4598181818181819,6.8999999999999995,7.990909090909091,0.8724545454545454,1.2272727272727273,6.29090909090909,7.509090909090909,2.9818181818181815,1.3090909090909089,0.6909090909090909,2.118181818181818,3.2181818181818183,24.136363636363637,117.18181818181819,110.36363636363636,15.963636363636367,0.5832727272727272,0.4534545454545454,0.46872727272727277,2.727272727272727,14.136363636363637,8.436363636363636,8.981818181818182,1.3090909090909089,1.0636363636363635,9.31818181818182,20.036363636363635,3.4727272727272736,0.9272727272727274,4.372727272727273,0.13263636363636364,1.8454545454545455,-1.2000000000000002,0.6818181818181818,1.1363636363636365,82.0,225.0,8179079.181818182,16.40909090909091,0.5465454545454546,0.23109090909090912,0.08063636363636364,0.059000000000000004,0.17527272727272727,0.4534545454545454,0.5991818181818181,0.36709090909090913,0.349,0.3658181818181818,0.5048181818181819,0.05990909090909091,27.636363636363637,0.8997272727272727,0.2051818181818182,0.3751818181818182,1.4545454545454546,0.18181818181818182
Marc Gasol,C,Offensive Center,2014.75,30.75,66.0,66.0,2275.0,9.35,20.575,0.45625,1.125,3.15,0.36975,8.225,17.425,0.472,5.675000000000001,7.0,0.812,1.8,9.5,11.299999999999999,5.875,1.325,2.2,3.4000000000000004,4.0,25.5,107.75,104.75,18.450000000000003,0.53875,0.14025,0.34675,3.9000000000000004,21.85,12.625,19.875,1.325,3.8249999999999997,12.549999999999999,23.625,2.925,3.0,5.8999999999999995,0.12225,0.4,2.275,2.65,2.7249999999999996,85.0,255.0,19107554.75,12.000000000000002,0.85975,0.166,0.28675,0.22175,0.185,0.14025,0.6585,0.436,0.40925,0.42625,0.65125,0.03175,26.0,0.98825,0.11425,0.20725,2.25,0.0
Pau Gasol,PF,Offensive Center,2009.375,29.375,68.0,64.9375,2291.5,10.100000000000001,20.1125,0.503,0.2937499999999999,0.7875,0.30899999999999994,9.812499999999998,19.331249999999997,0.5075,5.9375,7.84375,0.7601875,3.724999999999999,10.462500000000002,14.18125,5.012499999999999,0.75625,2.39375,3.29375,3.312499999999999,26.45,112.875,104.375,21.174999999999997,0.5615625,0.04081250000000001,0.3890625,8.225,22.51875,15.456249999999999,16.9,0.75625,3.4749999999999996,12.212500000000002,23.4875,5.049999999999999,2.9749999999999996,8.006250000000001,0.1630625,1.3062500000000001,1.9562499999999998,3.2562500000000005,3.14375,84.0,250.0,12360120.0625,8.350000000000001,0.9591875,0.3364375,0.29262499999999997,0.1500625,0.17975,0.04081250000000001,0.6531875,0.437875,0.4096875,0.4189375,0.6000624999999999,0.08474999999999999,73.125,0.9728125000000001,0.40443750000000006,0.370625,0.3125,0.0
Rudy Gay,SF,3-and-D Wing,2011.75,25.75,59.875,54.25,2079.0,10.187500000000002,22.9,0.446625,1.55625,4.5375,0.3418125,8.643749999999999,18.356249999999996,0.47274999999999995,5.1000000000000005,6.35,0.798125,2.20625,6.8187500000000005,9.018749999999999,3.4875000000000003,2.00625,1.2312500000000002,3.6937500000000005,3.6625000000000005,27.049999999999997,102.875,106.5,16.74375,0.5270625000000001,0.1983125,0.27837500000000004,4.8875,15.399999999999999,10.112499999999999,11.95625,2.00625,1.90625,12.518749999999999,25.600000000000005,1.6062499999999997,2.1125,3.6937499999999996,0.083375,0.09374999999999994,0.33125,0.41875000000000007,1.3125,80.0,230.0,12228619.1875,12.343750000000002,0.8017499999999999,0.2510625,0.1955,0.1639375,0.1915,0.1983125,0.6345000000000001,0.3970000000000001,0.4419375,0.3649375000000001,0.3579375000000001,0.08499999999999999,68.8125,0.7937500000000001,0.20425,0.34487500000000004,2.6875,0.0625
Paul George,SG,Shooting Wing,2013.5,23.5,65.875,59.875,2197.875,9.5375,22.4875,0.4265,3.3625000000000003,8.925,0.3727500000000001,6.1625000000000005,13.575000000000001,0.457375,5.35,6.4624999999999995,0.8177500000000002,1.4625,8.375,9.85,4.5375,2.65,0.7,4.175,4.499999999999999,27.787499999999998,104.5,101.5,17.4,0.548625,0.3928750000000001,0.285875,3.2125,18.012500000000003,10.674999999999999,15.262499999999998,2.65,1.0875,14.012500000000001,25.837500000000002,2.9375,3.7249999999999996,6.675,0.12300000000000001,1.475,0.975,2.475,3.0625,81.0,220.0,10171249.875,15.7375,0.607125,0.21812499999999996,0.083875,0.119625,0.185375,0.3928750000000001,0.59975,0.321125,0.38975000000000004,0.375375,0.373625,0.05587500000000001,40.625,0.817125,0.22999999999999998,0.37137500000000007,2.0,0.125
Taj Gibson,PF,Offensive Center,2014.75,29.75,73.75,56.75,1989.75,8.35,16.1,0.51975,0.07500000000000001,0.37499999999999994,0.18075000000000002,8.275,15.725,0.529,2.825,3.975,0.71825,4.125,8.3,12.425,1.8499999999999999,1.05,1.9000000000000001,2.25,4.6,19.6,111.0,106.0,15.024999999999999,0.5509999999999999,0.026,0.2485,9.1,18.25,13.674999999999999,5.7250000000000005,1.05,2.925,11.125000000000002,17.5,2.45,2.4749999999999996,4.925,0.11750000000000001,-1.55,0.975,-0.575,0.7999999999999999,81.0,232.0,8254420.0,7.3999999999999995,0.974,0.4275,0.24525000000000002,0.14200000000000002,0.158,0.026,0.68825,0.43000000000000005,0.397,0.35275,0.68175,0.11074999999999999,64.0,0.66675,0.696,0.14650000000000002,1.0,0.25
Aaron Gordon,PF,Versatile Forward,2015.5,20.5,65.75,43.5,1716.75,7.875,17.425,0.452,1.6249999999999998,5.375000000000001,0.29775000000000007,6.199999999999999,12.075,0.514,3.425,4.8999999999999995,0.7015,2.95,8.275,11.2,3.05,1.45,1.25,2.1999999999999997,3.9749999999999996,20.775,106.25,108.0,14.85,0.5295,0.295,0.28425,6.425000000000001,18.675,12.475,9.7,1.45,1.9749999999999999,10.35,19.4,1.5999999999999999,1.6500000000000001,3.25,0.08700000000000001,-0.6,0.19999999999999998,-0.42499999999999993,0.85,81.0,220.0,4504865.0,11.649999999999999,0.705,0.388,0.11374999999999999,0.0985,0.105,0.295,0.6724999999999999,0.34375,0.31650000000000006,0.30950000000000005,0.499,0.1225,71.25,0.8945000000000001,0.34400000000000003,0.3235,2.25,0.0
Eric Gordon,SG,Scoring Wing,2012.5,24.5,56.1,44.3,1862.5,8.99,20.889999999999997,0.4306000000000001,3.2399999999999998,8.77,0.3652,5.79,12.129999999999999,0.4757999999999999,5.3,6.56,0.8143999999999998,0.64,3.2599999999999993,3.9,4.86,1.56,0.5,3.3899999999999997,3.0700000000000003,26.5,107.5,111.8,15.160000000000002,0.5586,0.4252999999999999,0.30910000000000004,1.4100000000000001,7.330000000000001,4.340000000000001,15.76,1.56,0.8100000000000002,12.45,23.759999999999998,2.3,0.8099999999999999,3.09,0.0808,1.5600000000000003,-2.2199999999999998,-0.6700000000000002,0.6199999999999999,76.0,215.0,9598489.1,15.09,0.5747000000000001,0.2711,0.1291,0.044700000000000004,0.12940000000000002,0.4252999999999999,0.5895000000000001,0.3639,0.32270000000000004,0.37809999999999994,0.4166,0.0196,12.8,0.819,0.11840000000000002,0.44489999999999996,2.1,0.1
Jerami Grant,SF,Versatile Forward,2015.6,21.6,76.2,14.4,1622.2,5.5200000000000005,12.279999999999998,0.4476,1.2799999999999998,4.0,0.31860000000000005,4.22,8.3,0.502,3.96,6.220000000000001,0.631,1.8399999999999999,5.859999999999999,7.720000000000001,2.16,1.1800000000000002,2.56,2.02,4.8999999999999995,16.259999999999998,107.4,107.6,11.579999999999998,0.541,0.3298,0.5014000000000001,3.96,13.4,8.559999999999999,6.68,1.1800000000000002,4.2,11.6,14.88,1.0999999999999999,1.6800000000000002,2.7800000000000002,0.0828,-2.6799999999999997,0.8800000000000001,-1.8,0.12000000000000002,81.0,220.0,1043021.0,10.86,0.6701999999999999,0.4304,0.1386,0.0412,0.06040000000000001,0.3298,0.626,0.2884,0.282,0.3114,0.6622,0.1412,52.6,0.9743999999999999,0.47620000000000007,0.36300000000000004,0.4,0.0
Jerian Grant,PG,Combo Guard,2016.0,24.0,71.0,20.0,1326.3333333333333,6.233333333333333,15.066666666666665,0.4116666666666666,1.7000000000000002,5.366666666666667,0.304,4.533333333333333,9.7,0.465,3.733333333333333,4.666666666666667,0.805,0.8666666666666667,4.533333333333333,5.3999999999999995,7.666666666666667,2.033333333333333,0.3333333333333333,2.766666666666667,4.1,17.766666666666666,107.66666666666667,109.33333333333333,12.9,0.5206666666666667,0.35766666666666674,0.31066666666666665,1.9000000000000001,9.8,5.833333333333333,23.099999999999998,2.033333333333333,0.5333333333333333,13.733333333333334,17.466666666666665,1.1666666666666665,1.0666666666666667,2.1999999999999997,0.081,-0.7999999999999999,-1.0666666666666667,-1.8999999999999997,-0.033333333333333326,76.0,205.0,1643080.0,14.566666666666668,0.6423333333333333,0.24866666666666667,0.115,0.11699999999999999,0.161,0.35766666666666674,0.597,0.3463333333333333,0.41533333333333333,0.39633333333333337,0.25533333333333336,0.011666666666666667,4.666666666666667,0.7263333333333333,0.14533333333333334,0.459,2.0,0.0
Danny Green,SG,Shooting Wing,2013.375,26.375,66.5,58.0,1682.625,6.3875,15.450000000000001,0.41225,3.4999999999999996,9.237499999999999,0.380625,2.8625,6.212499999999999,0.458875,1.6375000000000002,2.0500000000000003,0.790625,1.45,5.625,7.0625,3.1625,2.1,1.7000000000000002,2.1625,3.4749999999999996,17.887500000000003,105.625,102.0,13.0375,0.5466250000000001,0.6014999999999999,0.131125,3.325,12.225000000000001,7.887499999999999,8.9375,2.1,2.525,11.7125,16.5,1.4,2.7624999999999997,4.1375,0.113125,0.725,1.8250000000000002,2.5375,2.1375,78.0,215.0,5324934.625,18.1375,0.3985,0.17350000000000002,0.07849999999999999,0.055374999999999994,0.09062499999999998,0.6014999999999999,0.5875,0.39125,0.2535,0.4205,0.64075,0.013500000000000002,5.375,0.934875,0.35187500000000005,0.41012499999999996,1.625,0.0
Draymond Green,SF,Versatile Forward,2014.5,24.5,77.83333333333333,53.166666666666664,2152.3333333333335,5.666666666666667,13.299999999999999,0.4231666666666667,1.55,4.866666666666666,0.3126666666666667,4.133333333333333,8.45,0.4888333333333333,2.783333333333333,3.883333333333333,0.7208333333333332,2.1999999999999997,9.933333333333332,12.133333333333335,7.300000000000001,2.3666666666666667,1.8333333333333333,3.3166666666666664,5.2,15.683333333333335,105.83333333333333,100.16666666666667,14.683333333333335,0.5178333333333334,0.36399999999999993,0.292,5.116666666666666,21.166666666666668,13.5,20.099999999999998,2.3666666666666667,2.8666666666666667,17.916666666666668,16.366666666666667,2.4166666666666665,4.083333333333334,6.5,0.13116666666666668,-0.4166666666666667,3.6166666666666667,3.1833333333333336,3.233333333333333,79.0,230.0,8111863.0,13.033333333333333,0.636,0.3575,0.13066666666666668,0.056499999999999995,0.09116666666666666,0.36399999999999993,0.6365,0.26233333333333336,0.298,0.3095,0.6675,0.06183333333333333,36.166666666666664,0.9648333333333333,0.13949999999999999,0.3238333333333333,1.8333333333333333,0.0
JaMychal Green,PF,Offensive Center,2016.0,26.0,70.0,48.0,1696.3333333333333,7.233333333333333,15.333333333333334,0.47400000000000003,1.0999999999999999,3.1333333333333333,0.35033333333333333,6.133333333333333,12.200000000000001,0.5086666666666667,3.2000000000000006,4.2,0.7583333333333334,4.6,9.333333333333334,14.0,2.3666666666666667,1.2666666666666668,0.9333333333333332,2.6,5.933333333333334,18.8,110.0,108.0,14.033333333333333,0.5503333333333333,0.21366666666666667,0.2793333333333334,10.033333333333333,21.599999999999998,15.633333333333335,7.433333333333334,1.2666666666666668,1.7,13.166666666666666,17.333333333333332,1.9000000000000001,1.7666666666666668,3.6666666666666665,0.09900000000000002,-1.0666666666666667,0.13333333333333336,-0.9,0.5333333333333333,81.0,227.0,3452941.0,10.1,0.7863333333333333,0.454,0.10233333333333332,0.063,0.16766666666666666,0.21366666666666667,0.5983333333333333,0.29233333333333333,0.365,0.44566666666666666,0.616,0.12,50.0,0.9863333333333334,0.523,0.38433333333333336,0.3333333333333333,0.0
Jeff Green,SF,3-and-D Wing,2012.4375,26.4375,63.5,41.1875,1928.5,8.168750000000001,18.650000000000002,0.4391250000000001,1.60625,4.93125,0.322625,6.574999999999998,13.7,0.48000000000000004,4.35625,5.4875,0.7929375000000001,1.54375,5.906249999999999,7.45625,2.65,1.2062499999999998,0.9125,2.41875,3.8500000000000005,22.30625,104.5,108.0,13.200000000000003,0.5299999999999999,0.262125,0.29424999999999996,3.4625,13.1125,8.299999999999999,8.399999999999999,1.2062499999999998,1.3937500000000003,10.268749999999997,20.674999999999997,1.36875,1.7374999999999996,3.10625,0.0783125,-0.8625,-0.5437500000000001,-1.41875,0.3625,81.0,235.0,7102044.9375,12.131249999999998,0.7378750000000001,0.3001875,0.1965,0.0919375,0.1489375,0.262125,0.6371875,0.3773749999999999,0.36568750000000005,0.37225,0.4928125,0.06137500000000001,38.875,0.9340625,0.357,0.3868125,3.4375,0.0
Blake Griffin,PF,Versatile Forward,2014.2,25.2,58.7,58.7,2050.7,11.78,23.97,0.49269999999999997,1.01,3.0300000000000002,0.2973,10.75,20.97,0.5115999999999999,6.640000000000001,9.419999999999998,0.7107,2.96,9.690000000000001,12.650000000000002,6.87,1.2799999999999998,0.7000000000000001,3.7400000000000007,4.1,31.24,111.5,106.2,21.759999999999998,0.5553000000000001,0.12290000000000001,0.3961,6.650000000000001,21.43,14.11,23.749999999999996,1.2799999999999998,1.15,11.700000000000001,28.110000000000003,4.85,2.4,7.209999999999999,0.1615,2.77,0.9099999999999999,3.6700000000000004,3.04,82.0,250.0,18066362.7,10.190000000000001,0.8771000000000001,0.3429,0.2286,0.0725,0.23329999999999998,0.12290000000000001,0.7175,0.41390000000000005,0.311,0.3533,0.5531,0.11069999999999999,106.4,0.834,0.19349999999999998,0.2911,1.3,0.0
James Harden,SG,Combo Guard,2013.0,24.0,76.33333333333333,52.666666666666664,2582.1111111111113,9.711111111111112,21.866666666666664,0.4435555555555556,3.4777777777777774,9.488888888888889,0.3662222222222222,6.2444444444444445,12.38888888888889,0.5048888888888889,9.977777777777778,11.71111111111111,0.8496666666666666,1.1,6.255555555555555,7.355555555555556,8.444444444444445,2.211111111111111,0.6777777777777777,4.877777777777778,3.8777777777777778,32.85555555555556,117.77777777777777,105.88888888888889,23.022222222222222,0.6068888888888888,0.43411111111111106,0.5336666666666667,2.522222222222222,13.822222222222223,8.277777777777777,29.24444444444445,2.211111111111111,1.088888888888889,14.97777777777778,28.044444444444448,8.933333333333334,2.9222222222222225,11.844444444444443,0.21555555555555556,5.955555555555556,0.17777777777777776,6.122222222222223,5.555555555555555,77.0,220.0,13089987.555555556,14.722222222222221,0.5658888888888889,0.28944444444444445,0.10922222222222222,0.05966666666666667,0.10733333333333334,0.43411111111111106,0.6338888888888888,0.3236666666666667,0.4117777777777778,0.386,0.23077777777777778,0.035,32.22222222222222,0.5865555555555555,0.10155555555555555,0.3698888888888889,1.5555555555555556,0.1111111111111111
